"subject","time","stage"
1,5820,2
1,15840,0
1,16500,2
1,17490,3
1,17670,3
1,18120,3
1,19290,2
1,20670,5
1,22560,2
1,25200,1
1,25650,0
1,26430,2
1,26550,2
1,26820,2
1,27630,2
2,1680,2
2,1770,1
2,5580,3
2,11820,3
2,12660,3
2,13650,5
2,15450,3
2,15720,1
2,20970,5
2,21420,5
2,22320,5
2,23880,2
2,26670,2
3,3090,3
3,4890,3
3,5130,3
3,10260,3
3,10710,3
3,11220,3
3,11280,3
3,12060,5
3,14010,2
3,14310,2
3,14910,2
3,16230,0
3,17550,2
3,18630,0
3,19080,2
3,19440,5
3,23550,3
3,23790,3
3,24390,0
4,2280,3
4,3630,3
4,5190,3
4,8160,2
4,9900,5
4,10650,1
4,12870,3
4,14400,3
4,18120,2
4,22860,0
4,23310,0
4,23730,0
5,1890,0
5,4140,3
5,5280,0
5,10170,0
5,10740,2
5,11070,5
5,14160,3
5,14820,3
5,24000,5
5,24030,5
5,26010,2
6,8550,2
6,11460,1
6,11850,5
6,13350,1
6,13530,0
6,15870,3
6,15900,3
6,24240,2
6,24540,2
6,24990,0
7,90,0
7,2070,0
7,3600,0
7,7650,0
7,9750,3
7,15000,5
7,16650,5
7,24390,0
8,150,0
8,3450,1
8,3750,0
8,3810,0
8,3870,0
8,4080,0
8,7770,0
8,8250,0
8,8730,0
8,9030,1
8,9210,0
8,9840,1
8,12570,3
8,12930,3
8,13290,2
8,14010,5
8,17490,2
8,19890,2
8,21930,5
8,21960,5
8,23040,0
8,23340,1
8,24120,2
8,25290,2
8,25410,2
8,27870,5
8,28470,5
9,7500,2
9,8340,0
9,8640,1
9,9750,3
9,13350,3
9,16440,1
9,16830,1
9,20970,0
9,21390,2
9,25500,2
9,25560,5
9,26580,2
9,26670,2
9,28710,0
10,1320,1
10,3150,1
10,3960,1
10,5550,2
10,7530,5
10,11160,2
10,14040,0
10,14310,0
10,16440,1
10,17790,0
10,20940,5
