subject,time
('normal_sleep_data/1.rec', 10230)
('normal_sleep_data/1.rec', 16200)
('normal_sleep_data/1.rec', 3540)
('normal_sleep_data/10.rec', 14250)
('normal_sleep_data/10.rec', 20280)
('normal_sleep_data/2.rec', 1920)
('normal_sleep_data/3.rec', 10470)
('normal_sleep_data/3.rec', 12780)
('normal_sleep_data/3.rec', 15600)
('normal_sleep_data/4.rec', 7890)
('normal_sleep_data/4.rec', 3750)
('normal_sleep_data/4.rec', 6750)
('normal_sleep_data/5.rec', 20880)
('normal_sleep_data/6.rec', 11340)
('normal_sleep_data/7.rec', 22230)
('normal_sleep_data/7.rec', 17640)
('normal_sleep_data/7.rec', 9570)
('normal_sleep_data/7.rec', 21330)
('normal_sleep_data/8.rec', 3120)
('normal_sleep_data/9.rec', 25380)
